Unnamed: 0,Power Electricity (GWh) - GSO reported
2020-01-31,16579.636
2020-02-29,17354.353
2020-03-31,19911.17716
2020-04-30,17527.008
2020-05-31,20231.71
2020-06-30,21346.76394
2020-07-31,22205.15
2020-08-31,20900.62398689
2020-09-30,20710.37001311
2020-10-31,19678.07
2020-11-30,18932.688
2020-12-31,19112.934
2021-01-31,19171.1639226
2021-02-28,15119.219
2021-03-31,21309.07
2021-04-30,21229.0440612
2021-05-31,22924.53738182
2021-06-30,22930.38554
2021-07-31,22289.2841107
2021-08-31,20830.8189
2021-09-30,18495.5965
2021-10-31,19902.122
2021-11-30,19968.1324
2021-12-31,20607.477
2022-01-31,20017.397352
2022-02-28,17751.136
2022-03-31,22448.705
2022-04-30,22066.0
2022-05-31,23113.0666
2022-06-30,23782.0518
2022-07-31,23744.188
2022-08-31,23328.6495043
2022-09-30,21598.01102446
2022-10-31,20972.99123879
2022-11-30,20504.23
2022-12-31,20648.624
2023-01-31,17400.0
2023-02-28,19199.61841443
2023-03-31,22232.91288156
2023-04-30,22574.232
2023-05-31,23868.86561155
2023-06-30,22983.302
2023-07-31,24683.88061302
2023-08-31,24636.07857308
2023-09-30,22421.3398983
2023-10-31,22730.29303224
2023-11-30,21922.77339536
2023-12-31,22022.56115632
2024-01-31,22710.05945921
2024-02-29,18710.8394004
2024-03-31,24323.22537918
2024-04-30,25343.93056355
2024-05-31,26475.45293903
2024-06-30,26197.19886099
2024-07-31,26310.03055158
2024-08-31,27228.16754802
2024-09-30,23795.33637253
2024-10-31,24580.1934886
2024-11-30,23757.41210942
2024-12-31,23911.3327443
2025-01-31,23600.0
2025-02-28,22275.8105353
2025-03-31,27510.73621978
2025-04-30,27440.96219842
2025-05-31,29038.22387928
2025-06-30,28649.0567922
2025-07-31,29594.99166559
